Provinsi,Tahun,Life Expectancy at Birth (Year)
Aceh,2013,69.31
Aceh,2014,69.35
Aceh,2015,69.5
Aceh,2016,69.51
Aceh,2017,69.52
Aceh,2018,69.64
Aceh,2019,69.87
Aceh,2020,69.93
Aceh,2021,69.96
Aceh,2022,70.18
Aceh,2023,70.34
Aceh,2024,70.44
Bali,2013,71.11
Bali,2014,71.19
Bali,2015,71.35
Bali,2016,71.41
Bali,2017,71.46
Bali,2018,71.68
Bali,2019,71.99
Bali,2020,72.13
Bali,2021,72.24
Bali,2022,72.6
Bali,2023,72.98
Bali,2024,73.29
Banten,2013,69.04
Banten,2014,69.13
Banten,2015,69.43
Banten,2016,69.46
Banten,2017,69.49
Banten,2018,69.64
Banten,2019,69.84
Banten,2020,69.96
Banten,2021,70.02
Banten,2022,70.39
Banten,2023,70.77
Banten,2024,71.02
Bengkulu,2013,68.33
Bengkulu,2014,68.36
Bengkulu,2015,68.5
Bengkulu,2016,68.56
Bengkulu,2017,68.59
Bengkulu,2018,68.84
Bengkulu,2019,69.21
Bengkulu,2020,69.35
Bengkulu,2021,69.42
Bengkulu,2022,69.69
Bengkulu,2023,69.92
Bengkulu,2024,70.13
DI Yogyakarta,2013,74.45
DI Yogyakarta,2014,74.5
DI Yogyakarta,2015,74.68
DI Yogyakarta,2016,74.71
DI Yogyakarta,2017,74.74
DI Yogyakarta,2018,74.82
DI Yogyakarta,2019,74.92
DI Yogyakarta,2020,74.99
DI Yogyakarta,2021,75.04
DI Yogyakarta,2022,75.08
DI Yogyakarta,2023,75.12
DI Yogyakarta,2024,75.22
DKI Jakarta,2013,72.19
DKI Jakarta,2014,72.27
DKI Jakarta,2015,72.43
DKI Jakarta,2016,72.49
DKI Jakarta,2017,72.55
DKI Jakarta,2018,72.67
DKI Jakarta,2019,72.79
DKI Jakarta,2020,72.91
DKI Jakarta,2021,73.01
DKI Jakarta,2022,73.32
DKI Jakarta,2023,73.65
DKI Jakarta,2024,73.87
Gorontalo,2013,66.92
Gorontalo,2014,67
Gorontalo,2015,67.12
Gorontalo,2016,67.13
Gorontalo,2017,67.14
Gorontalo,2018,67.45
Gorontalo,2019,67.93
Gorontalo,2020,68.07
Gorontalo,2021,68.19
Gorontalo,2022,68.51
Gorontalo,2023,68.83
Gorontalo,2024,69.09
Jambi,2013,70.35
Jambi,2014,70.43
Jambi,2015,70.56
Jambi,2016,70.71
Jambi,2017,70.76
Jambi,2018,70.89
Jambi,2019,71.06
Jambi,2020,71.16
Jambi,2021,71.22
Jambi,2022,71.5
Jambi,2023,71.77
Jambi,2024,72.04
Jawa Barat,2013,72.09
Jawa Barat,2014,72.23
